"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12260","test_fill_form_request_footer_react_page","test","Mon Apr 14 13:33:36 GMT 2025","passed","Mon Apr 14 13:33:49 GMT 2025","","test_react_page","",""
"","7660","test_add_request_success_main_page","test","Mon Apr 14 13:32:33 GMT 2025","broken","Mon Apr 14 13:32:41 GMT 2025","","test_main_page","",""
"","13504","test_fill_form_request_footer_d2c_page","test","Mon Apr 14 13:31:52 GMT 2025","passed","Mon Apr 14 13:32:06 GMT 2025","","test_d2c_page","",""
"","5049","test_main_page_data_card_packages[package_data3]","test","Mon Apr 14 13:32:22 GMT 2025","passed","Mon Apr 14 13:32:27 GMT 2025","","test_main_page","",""
"","31596","test_fill_form_request_footer_main_page","test","Mon Apr 14 13:32:42 GMT 2025","failed","Mon Apr 14 13:33:13 GMT 2025","","test_main_page","",""
"","8387","test_add_request_success_d2c_page","test","Mon Apr 14 13:31:44 GMT 2025","passed","Mon Apr 14 13:31:52 GMT 2025","","test_d2c_page","",""
"","13152","test_add_request_success_react_page","test","Mon Apr 14 13:33:22 GMT 2025","broken","Mon Apr 14 13:33:35 GMT 2025","","test_react_page","",""
"","4992","test_main_page_data_card_packages[package_data0]","test","Mon Apr 14 13:32:06 GMT 2025","passed","Mon Apr 14 13:32:11 GMT 2025","","test_main_page","",""
"","4874","test_main_page_data_card_packages[package_data4]","test","Mon Apr 14 13:32:28 GMT 2025","passed","Mon Apr 14 13:32:33 GMT 2025","","test_main_page","",""
"","7547","test_main_page_add_request_header","test","Mon Apr 14 13:33:14 GMT 2025","broken","Mon Apr 14 13:33:21 GMT 2025","","test_main_page","",""
"","4949","test_main_page_data_card_packages[package_data2]","test","Mon Apr 14 13:32:17 GMT 2025","passed","Mon Apr 14 13:32:22 GMT 2025","","test_main_page","",""
"","4916","test_main_page_data_card_packages[package_data1]","test","Mon Apr 14 13:32:12 GMT 2025","passed","Mon Apr 14 13:32:17 GMT 2025","","test_main_page","",""
"","6667","test_react_page_add_request_header","test","Mon Apr 14 13:33:49 GMT 2025","passed","Mon Apr 14 13:33:56 GMT 2025","","test_react_page","",""
